Youtuber,Comments,Date
MrBeast Gaming,Massive thank you to Epic for sponsoring this video!<br>All proceeds from code &quot;MrBeast&quot; goes directly to support our moms!,2020-10-02T19:28:13Z
MrBeast Gaming,Karl is the example of “what a save” guy,2022-04-28T13:55:53Z
MrBeast Gaming,Chris convincing himself of Being a beast in non competitive match is just pure fun. I love you guys,2022-01-23T22:39:30Z
MrBeast Gaming,I love the friendship they have and how all of them are working together,2023-04-17T03:40:44Z
MrBeast Gaming,I feel like chandler is always so excited for a new game that he’s never played it makes me so happy 😁,2022-05-01T16:22:28Z
MrBeast Gaming,"<a href=""https://www.youtube.com/watch?v=EhHzJidkydo&amp;t=5m34s"">5:34</a> one of Karl’s best moments in the game",2022-12-31T21:44:03Z
MrBeast Gaming,THIS IS ROCKET LEAGUE,2020-10-02T20:35:13Z
MrBeast Gaming,Karl: When are we done playing against tutorial bots?<br>The other team: we are actually tutorial bots!,2022-09-23T09:29:01Z
MrBeast Gaming,I love how supportive chandler is to karl. :),2022-07-18T07:23:48Z
MrBeast Gaming,They were actually pretty good for their first time. I love you guys❤️,2023-05-19T08:33:57Z
MrBeast Gaming,I legit couldn&#39;t stop laughing at Karl&#39;s trash talk!,2022-02-06T19:25:20Z
MrBeast Gaming,"Karl: Trash talker and defence<br>Jimmy: Jalapenos<br>Chris: Goal scorer <br>Chandler: Chandler",2020-10-02T19:38:33Z
MrBeast Gaming,I love how excited they are when they play their first game against the ai,2022-11-10T21:28:06Z
MrBeast Gaming,Chris is enjoying his amazing goal while everybody doesn&#39;t notice,2022-01-10T20:25:42Z
MrBeast Gaming,I love how it’s like Carl has played like he already knows how to,2023-01-01T17:33:00Z
MrBeast Gaming,This video honestly never gets old.,2022-07-12T21:25:01Z
MrBeast Gaming,its funny how the only goals they were scored on is because of them not moving! 🤣,2022-12-08T16:15:04Z
MrBeast Gaming,Karl: hits ball 2 meters<br><br>Also Karl: “IM INSANE!!!!!!!”,2020-10-02T23:09:55Z
MrBeast Gaming,"I love how whenever somebody else scores he’s like nice shot, but whenever he scores he’s like IM SO GOOD YEAA",2022-03-12T16:56:23Z
MrBeast Gaming,"I love how they think they are good. But just having some fun. Love your content, keep it up.",2022-03-16T11:46:02Z
MrBeast Gaming,The focusness on Karl’s face though😂😂😂😂,2023-07-26T20:39:46Z
MrBeast Gaming,Karl is the type of teammate that would call you a waste of oxygen just because you missed 1 goal and he missed 7.,2022-05-26T00:20:35Z
